Start Time:  08-05-2024 13:46:36          Time Completed:  08-05-2024 14:04:28      Elapsed Time:  00:17:51
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_315.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_315.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_315.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.841118 	
 18000 	 0.840963 	
 17000 	 0.839599 	
 16000 	 0.838169 	
 15000 	 0.836055 	
 14000 	 0.835032 	
 13000 	 0.831829 	
 11999.9 	 0.829205 	
 11000 	 0.82601 	
 10000 	 0.822514 	
 8999.96 	 0.819016 	
 8000.02 	 0.813622 	
 6999.97 	 0.807612 	
 5999.94 	 0.800405 	
 4999.99 	 0.791035 	
 4000.03 	 0.775877 	
 3000.21 	 0.753234 	
 2000 	 0.713721 	
 999.997 	 0.621367 	
 950.003 	 0.613391 	
 900.008 	 0.604937 	
 850.002 	 0.59562 	
 799.987 	 0.585814 	
 749.996 	 0.575024 	
 699.994 	 0.56327 	
 650.003 	 0.550394 	
 599.997 	 0.536402 	
 550 	 0.52086 	
 499.993 	 0.503669 	
 449.997 	 0.484579 	
 399.998 	 0.462994 	
 350.007 	 0.43783 	
 299.991 	 0.40983 	
 249.995 	 0.37669 	
 199.996 	 0.337457 	
 179.998 	 0.31942 	
 159.991 	 0.299794 	
 140.004 	 0.278222 	
 119.998 	 0.254389 	
 99.9983 	 0.227745 	
 80.0023 	 0.197671 	
 59.9951 	 0.163047 	
 39.9982 	 0.122285 	
 19.9959 	 0.0721061 	
 19.0002 	 0.0692398 	
 18.001 	 0.0663713 	
 17.0019 	 0.0634177 	
 16.0004 	 0.0604316 	
 14.9997 	 0.0573407 	
 13.9893 	 0.0542188 	
 13.0109 	 0.0510948 	
 11.9909 	 0.0478946 	
 10.9969 	 0.0446542 	
 10.0001 	 0.0412795 	
 9.00597 	 0.0378612 	
 8.00848 	 0.0344056 	
 6.98884 	 0.0308337 	
 5.99887 	 0.02724 	
 5.00106 	 0.0234141 	
 4.01416 	 0.0195226 	
 3.00178 	 0.0154499 	
 1.99892 	 0.0112694 	
 0.997023 	 0.00680263 	
 0.00644905 	 0.00194752 	
-1.00366 	-0.00320549 	
-2.00234 	-0.0079629 	
-3.00122 	-0.0124462 	
-3.99526 	-0.0165851 	
-4.99287 	-0.0205446 	
-6.00561 	-0.024395 	
-7.0017 	-0.0280869 	
-8.00699 	-0.0317001 	
-8.99742 	-0.0351324 	
-9.99929 	-0.0386235 	
-10.9929 	-0.0419642 	
-11.9922 	-0.0452517 	
-12.9975 	-0.0485229 	
-14.0068 	-0.0516639 	
-15.0051 	-0.0548097 	
-15.9917 	-0.0578549 	
-17.0022 	-0.0608736 	
-18.0009 	-0.0637901 	
-18.9951 	-0.066708 	
-19.9913 	-0.0695734 	

	
	
