Start Time:  08-05-2024 15:31:17          Time Completed:  08-05-2024 15:48:15      Elapsed Time:  00:16:57
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_330a.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_330a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_330a.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.836728 	
 18000 	 0.836565 	
 17000 	 0.834606 	
 16000 	 0.833898 	
 15000 	 0.830999 	
 14000 	 0.830561 	
 13000 	 0.827292 	
 12000 	 0.824995 	
 11000 	 0.82134 	
 10000 	 0.817452 	
 9000.01 	 0.814133 	
 8000 	 0.808259 	
 7000.01 	 0.803154 	
 5999.98 	 0.795609 	
 4999.98 	 0.785964 	
 3999.99 	 0.771127 	
 2999.95 	 0.746109 	
 1999.99 	 0.707361 	
 999.996 	 0.609631 	
 949.988 	 0.601884 	
 900 	 0.593495 	
 850.003 	 0.584195 	
 799.994 	 0.573071 	
 749.993 	 0.562015 	
 699.998 	 0.550066 	
 649.994 	 0.536463 	
 599.997 	 0.518559 	
 550.001 	 0.506096 	
 500.008 	 0.486585 	
 450.001 	 0.467862 	
 400.005 	 0.445099 	
 349.999 	 0.417407 	
 300.001 	 0.390946 	
 250.005 	 0.354797 	
 200 	 0.316159 	
 179.995 	 0.298368 	
 159.995 	 0.277704 	
 139.998 	 0.256557 	
 120.007 	 0.233436 	
 99.9947 	 0.207022 	
 79.9977 	 0.177442 	
 60.0015 	 0.144216 	
 40.0003 	 0.105624 	
 19.9961 	 0.0607606 	
 18.9992 	 0.0578239 	
 18 	 0.0553269 	
 17.0014 	 0.0527611 	
 15.995 	 0.0506506 	
 15.0046 	 0.0474325 	
 13.9984 	 0.0445761 	
 13.0007 	 0.0420938 	
 11.9971 	 0.0393394 	
 10.9997 	 0.0366296 	
 10.005 	 0.0338806 	
 8.99968 	 0.0308682 	
 8.0029 	 0.0278029 	
 6.99479 	 0.0248799 	
 5.9994 	 0.0217926 	
 5.00464 	 0.0187877 	
 3.99412 	 0.0155078 	
 2.99332 	 0.0121923 	
 1.99838 	 0.00880381 	
 1.00153 	 0.005126 	
 0.00409174 	 0.00149097 	
-1.005 	-0.00243486 	
-1.99784 	-0.00624929 	
-3.00195 	-0.00966819 	
-4.00075 	-0.0128824 	
-5.00203 	-0.0163208 	
-6.00605 	-0.0194653 	
-7.00558 	-0.0226043 	
-8.00645 	-0.025502 	
-8.9999 	-0.0294346 	
-10.0018 	-0.0309841 	
-10.9912 	-0.0344536 	
-12.006 	-0.0382479 	
-13.0058 	-0.0396523 	
-14.0047 	-0.0433562 	
-15.001 	-0.045158 	
-16.0084 	-0.0480534 	
-16.9983 	-0.0507757 	
-17.9973 	-0.0533433 	
-18.9958 	-0.055951 	
-19.9992 	-0.0599473 	

	
	
