Start Time:  08-05-2024 17:23:41          Time Completed:  08-05-2024 17:40:26      Elapsed Time:  00:16:44
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_345.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_345.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_345.dat

***DATA***

Field(G)	 Moment(emu)	
 19001.1 	 0.835469 	
 17999.8 	 0.835185 	
 17000 	 0.833666 	
 16000 	 0.832513 	
 15000 	 0.829965 	
 14000 	 0.829118 	
 13000 	 0.826085 	
 12000 	 0.823033 	
 11000 	 0.819995 	
 9999.99 	 0.816323 	
 9000.01 	 0.812748 	
 7999.99 	 0.807453 	
 6999.97 	 0.801831 	
 6000.03 	 0.794946 	
 4999.99 	 0.784466 	
 3999.98 	 0.76905 	
 2999.94 	 0.745491 	
 1999.99 	 0.704494 	
 1000.01 	 0.604898 	
 949.993 	 0.596948 	
 900 	 0.587441 	
 850.002 	 0.578104 	
 799.993 	 0.566947 	
 749.996 	 0.555395 	
 699.997 	 0.542713 	
 649.996 	 0.528919 	
 600.006 	 0.51444 	
 549.998 	 0.497303 	
 500.003 	 0.478857 	
 449.999 	 0.458654 	
 400.007 	 0.435713 	
 349.999 	 0.4091 	
 300.001 	 0.379422 	
 249.991 	 0.345012 	
 199.994 	 0.304523 	
 179.998 	 0.28611 	
 160.005 	 0.266272 	
 139.995 	 0.244675 	
 119.992 	 0.221113 	
 100 	 0.195188 	
 79.9939 	 0.166464 	
 60.0008 	 0.134152 	
 40.0042 	 0.097384 	
 19.9957 	 0.0544379 	
 18.997 	 0.0521086 	
 17.9975 	 0.0497032 	
 16.9993 	 0.0473143 	
 16.001 	 0.0448525 	
 15.0035 	 0.0423608 	
 14.0039 	 0.0398977 	
 13.0002 	 0.0374238 	
 11.9928 	 0.0348605 	
 10.9953 	 0.0323112 	
 9.99785 	 0.0296755 	
 8.99851 	 0.0270531 	
 8.00793 	 0.0244042 	
 7.00107 	 0.0216799 	
 5.99484 	 0.0189778 	
 4.99729 	 0.0161707 	
 4.00052 	 0.0133059 	
 2.99627 	 0.0104037 	
 1.99796 	 0.0073622 	
 0.996882 	 0.0043163 	
-0.00749135 	 0.00113687 	
-1.00203 	-0.00214271 	
-1.99507 	-0.00530101 	
-3.00383 	-0.00827872 	
-4.00274 	-0.0113107 	
-5.00239 	-0.0141731 	
-6.00021 	-0.0170164 	
-6.99288 	-0.0197688 	
-7.99964 	-0.0225089 	
-9.00507 	-0.0251472 	
-10.0056 	-0.0278225 	
-11.0055 	-0.0303467 	
-12.003 	-0.0329536 	
-13.001 	-0.0354373 	
-14.0036 	-0.0379418 	
-14.9956 	-0.0403956 	
-16.0037 	-0.0428729 	
-16.9931 	-0.0452417 	
-18.0018 	-0.0476668 	
-18.9946 	-0.0500436 	
-20.0035 	-0.0524723 	

	
	
