Start Time:  21-05-2024 14:32:16          Time Completed:  21-05-2024 14:50:26      Elapsed Time:  00:18:09
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_195.txt
Plot File:     C:\IDEASVSM\LS_QC\A_195.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_195.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.562287 	
 18000 	 0.562098 	
 17000 	 0.561623 	
 16000 	 0.560788 	
 15000 	 0.559696 	
 14000 	 0.558434 	
 13000 	 0.556963 	
 12000 	 0.555272 	
 11000 	 0.553317 	
 10000 	 0.55103 	
 8999.99 	 0.548328 	
 8000 	 0.545041 	
 7000 	 0.541061 	
 5999.99 	 0.536117 	
 5000 	 0.529801 	
 4000.02 	 0.519448 	
 3000.12 	 0.503252 	
 1999.99 	 0.473257 	
 1000.01 	 0.397637 	
 950.005 	 0.391011 	
 900.001 	 0.383922 	
 849.996 	 0.37632 	
 799.999 	 0.368149 	
 749.988 	 0.359346 	
 699.989 	 0.349741 	
 649.995 	 0.339325 	
 600.001 	 0.328009 	
 550.009 	 0.315672 	
 499.988 	 0.302223 	
 449.996 	 0.287427 	
 399.998 	 0.270957 	
 350.038 	 0.252388 	
 299.997 	 0.231769 	
 249.994 	 0.208426 	
 200.005 	 0.181565 	
 180 	 0.169612 	
 159.994 	 0.156844 	
 139.997 	 0.143157 	
 120.001 	 0.128387 	
 99.994 	 0.112397 	
 79.9992 	 0.0949185 	
 59.9977 	 0.0756459 	
 39.9921 	 0.0540946 	
 20.002 	 0.0295003 	
 19.0074 	 0.0281737 	
 17.9979 	 0.0268445 	
 16.9968 	 0.0254806 	
 15.9965 	 0.0241215 	
 15.0012 	 0.0227823 	
 14.0019 	 0.0213925 	
 12.9979 	 0.020001 	
 11.9947 	 0.0185571 	
 10.9978 	 0.0171369 	
 9.99922 	 0.0156896 	
 9.00432 	 0.0142337 	
 8.00292 	 0.0127651 	
 7.00362 	 0.011298 	
 5.999 	 0.00981977 	
 4.99259 	 0.00829881 	
 3.99928 	 0.00675182 	
 3.00247 	 0.00521008 	
 2.00873 	 0.00361329 	
 1.00262 	 0.00203291 	
 0.00356299 	 0.000426042 	
-1.00018 	-0.00120646 	
-2.0049 	-0.00279879 	
-3.0019 	-0.00433855 	
-4.00343 	-0.00589994 	
-5.01384 	-0.00742919 	
-6.00118 	-0.00893843 	
-7.01086 	-0.0104058 	
-7.99688 	-0.0118976 	
-9.00144 	-0.0133472 	
-9.99669 	-0.0147999 	
-11.0005 	-0.0162266 	
-12.0013 	-0.0176301 	
-12.9961 	-0.0190552 	
-13.9937 	-0.0204401 	
-14.9995 	-0.021836 	
-16.0029 	-0.0232147 	
-17.0059 	-0.0245661 	
-18.0018 	-0.0258957 	
-19.0033 	-0.0272044 	
-19.9991 	-0.028578 	

	
	
