Start Time:  21-05-2024 12:36:51          Time Completed:  21-05-2024 12:54:06      Elapsed Time:  00:17:14
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_270.txt
Plot File:     C:\IDEASVSM\LS_QC\A_270.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_270.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.542147 	
 18000 	 0.541987 	
 17000 	 0.541557 	
 16000 	 0.540828 	
 15000 	 0.539807 	
 14000 	 0.538575 	
 13000 	 0.537164 	
 12000 	 0.535542 	
 11000 	 0.533675 	
 9998.85 	 0.531557 	
 9000.14 	 0.528982 	
 8000.33 	 0.52581 	
 7000.35 	 0.521967 	
 5999.69 	 0.517172 	
 4999.87 	 0.511084 	
 4000.04 	 0.501166 	
 3000.01 	 0.485703 	
 1999.99 	 0.457368 	
 999.998 	 0.386606 	
 950 	 0.380396 	
 899.996 	 0.373753 	
 849.987 	 0.366612 	
 799.994 	 0.358954 	
 750 	 0.350701 	
 699.999 	 0.34168 	
 649.995 	 0.331894 	
 599.996 	 0.321226 	
 549.995 	 0.309568 	
 500.009 	 0.296855 	
 449.997 	 0.282827 	
 399.999 	 0.267176 	
 349.998 	 0.249461 	
 300.002 	 0.229724 	
 249.994 	 0.207256 	
 200.002 	 0.18126 	
 179.995 	 0.169625 	
 160.006 	 0.157169 	
 139.999 	 0.143753 	
 119.996 	 0.129247 	
 99.9944 	 0.113461 	
 79.9957 	 0.0961191 	
 59.9956 	 0.0768947 	
 39.9922 	 0.0552358 	
 20.0026 	 0.0303354 	
 18.9908 	 0.0289833 	
 17.9964 	 0.0275919 	
 16.9886 	 0.0262416 	
 16.0069 	 0.0248514 	
 14.9975 	 0.0234105 	
 14.0005 	 0.0219995 	
 12.9936 	 0.020571 	
 12.0021 	 0.0191085 	
 11.0005 	 0.0176535 	
 10.0002 	 0.0161921 	
 8.99928 	 0.0147037 	
 7.99552 	 0.0131754 	
 6.99508 	 0.0116565 	
 5.98868 	 0.0101049 	
 4.99856 	 0.00856921 	
 4.00097 	 0.00696946 	
 3.0013 	 0.00537152 	
 2.0014 	 0.00377906 	
 0.993645 	 0.00212479 	
-0.00399791 	 0.000474711 	
-1.00369 	-0.00117812 	
-2.00115 	-0.00282755 	
-3.00736 	-0.00444228 	
-4.0017 	-0.0060462 	
-5.00079 	-0.0076348 	
-6.00743 	-0.00917958 	
-7.00877 	-0.010686 	
-8.00759 	-0.0122116 	
-9.00494 	-0.0137216 	
-9.99768 	-0.015191 	
-10.9995 	-0.01668 	
-12.007 	-0.0181194 	
-12.9988 	-0.0195673 	
-14.0043 	-0.0209447 	
-14.998 	-0.0223621 	
-16.0043 	-0.0237538 	
-16.9929 	-0.0251343 	
-17.9987 	-0.0265094 	
-18.9957 	-0.0278891 	
-20.0051 	-0.0292378 	

	
	
