Start Time:  21-05-2024 11:27:17          Time Completed:  21-05-2024 11:44:52      Elapsed Time:  00:17:34
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_315.txt
Plot File:     C:\IDEASVSM\LS_QC\A_315.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_315.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.540605 	
 18000 	 0.54041 	
 17000 	 0.539899 	
 16000 	 0.539022 	
 15000 	 0.537897 	
 14000 	 0.536614 	
 13000 	 0.535117 	
 12000 	 0.533429 	
 11000 	 0.531466 	
 10000 	 0.529168 	
 8999.99 	 0.526445 	
 8000.02 	 0.523129 	
 7000 	 0.519121 	
 5999.99 	 0.51413 	
 5000 	 0.507736 	
 4000 	 0.49739 	
 2999.96 	 0.481333 	
 1999.99 	 0.452121 	
 1000 	 0.380555 	
 949.999 	 0.374317 	
 899.998 	 0.367647 	
 850.006 	 0.360486 	
 800.01 	 0.352795 	
 750.002 	 0.344499 	
 700 	 0.335432 	
 649.991 	 0.325604 	
 599.999 	 0.3149 	
 549.998 	 0.303209 	
 499.998 	 0.290433 	
 449.993 	 0.276344 	
 399.999 	 0.260651 	
 349.997 	 0.242827 	
 299.999 	 0.223137 	
 249.997 	 0.20073 	
 200 	 0.174891 	
 179.995 	 0.163382 	
 160.003 	 0.15108 	
 139.985 	 0.137865 	
 120 	 0.123628 	
 100.004 	 0.108195 	
 79.9982 	 0.0913171 	
 59.9928 	 0.072727 	
 39.9938 	 0.0519491 	
 20.0006 	 0.0282871 	
 18.994 	 0.027008 	
 18.0013 	 0.0257412 	
 17.0034 	 0.0244425 	
 15.9995 	 0.0231411 	
 15.0015 	 0.0218014 	
 13.9907 	 0.0204693 	
 13.0006 	 0.0191234 	
 11.992 	 0.0177752 	
 11.0001 	 0.0163998 	
 9.99847 	 0.0150409 	
 9.00714 	 0.0136398 	
 7.99289 	 0.0122122 	
 6.99345 	 0.0108108 	
 5.99945 	 0.00937958 	
 4.99274 	 0.00795451 	
 4.00495 	 0.00646475 	
 2.99548 	 0.00499119 	
 1.99738 	 0.00350212 	
 0.993276 	 0.00202663 	
 0.00180431 	 0.000470955 	
-1.00661 	-0.00110575 	
-2.00471 	-0.00262178 	
-3.00238 	-0.00409829 	
-4.00931 	-0.00561885 	
-5.00263 	-0.00703329 	
-6.00202 	-0.00849237 	
-6.99172 	-0.00991719 	
-7.99925 	-0.0113233 	
-8.9988 	-0.0127566 	
-10.0028 	-0.0141264 	
-11.0014 	-0.0154946 	
-11.9953 	-0.016851 	
-12.9977 	-0.0181849 	
-14.0027 	-0.0195399 	
-15.0038 	-0.0208423 	
-16.0057 	-0.0221747 	
-17.0017 	-0.0234542 	
-18.0014 	-0.0247521 	
-19.0042 	-0.0260542 	
-20.0069 	-0.0273302 	

	
	
