Start Time:  21-05-2024 16:07:09          Time Completed:  21-05-2024 16:25:37      Elapsed Time:  00:18:27
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_135.txt
Plot File:     C:\IDEASVSM\LS_QC\A_135.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_135.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.547546 	
 18000 	 0.547388 	
 17000 	 0.546946 	
 16000 	 0.546204 	
 15000 	 0.545151 	
 14000 	 0.543904 	
 13000 	 0.542477 	
 12000 	 0.54086 	
 11000 	 0.538936 	
 10000 	 0.536754 	
 8999.99 	 0.538126 	
 8000.01 	 0.530718 	
 7000.01 	 0.526886 	
 5999.99 	 0.52598 	
 4999.99 	 0.521131 	
 4000 	 0.510746 	
 3000.23 	 0.494671 	
 1999.99 	 0.465243 	
 1000 	 0.387939 	
 950.005 	 0.382051 	
 900.004 	 0.374854 	
 849.987 	 0.367543 	
 799.989 	 0.359685 	
 749.997 	 0.351291 	
 700.002 	 0.342126 	
 649.996 	 0.332166 	
 599.999 	 0.321569 	
 550.01 	 0.313099 	
 499.991 	 0.299938 	
 449.992 	 0.285436 	
 400.002 	 0.269326 	
 350.011 	 0.251069 	
 299.997 	 0.230763 	
 249.994 	 0.207717 	
 199.998 	 0.181108 	
 179.996 	 0.169238 	
 159.997 	 0.154943 	
 139.993 	 0.141371 	
 119.993 	 0.1272 	
 99.9986 	 0.111198 	
 79.989 	 0.0943138 	
 59.9986 	 0.0755496 	
 40.0032 	 0.0540179 	
 20.0033 	 0.0292271 	
 18.998 	 0.0281733 	
 17.9994 	 0.0265039 	
 16.9864 	 0.0251864 	
 16.0084 	 0.0241015 	
 14.9985 	 0.0227194 	
 13.996 	 0.0210812 	
 13.0011 	 0.0197235 	
 12.0004 	 0.0183435 	
 10.9955 	 0.0169383 	
 10.0019 	 0.0155054 	
 9.00024 	 0.0140813 	
 7.99828 	 0.0127808 	
 6.99732 	 0.0111637 	
 5.99523 	 0.00969961 	
 5.00097 	 0.00823087 	
 4.00026 	 0.00670239 	
 2.99164 	 0.00518204 	
 1.99588 	 0.00362594 	
 1.00623 	 0.00205986 	
-0.00258499 	 0.000497196 	
-1.01282 	-0.0011005 	
-2.00161 	-0.00267877 	
-3.00676 	-0.0041946 	
-4.00043 	-0.0057277 	
-4.99433 	-0.0072313 	
-5.99804 	-0.00872592 	
-7.00034 	-0.0101956 	
-8.00014 	-0.0116419 	
-9.01016 	-0.0131089 	
-9.99758 	-0.0145343 	
-11.0007 	-0.0159436 	
-12.0063 	-0.0173394 	
-13.0103 	-0.0187165 	
-14.0034 	-0.0200737 	
-15.0019 	-0.0214371 	
-16.0011 	-0.0228084 	
-17.0026 	-0.0241741 	
-18.0135 	-0.0256185 	
-19.0055 	-0.0267997 	
-20.0008 	-0.0281632 	

	
	
