Start Time:  22-05-2024 12:55:44          Time Completed:  22-05-2024 13:13:52      Elapsed Time:  00:18:07
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_30.txt
Plot File:     C:\IDEASVSM\LS_QC\A_30.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_30.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.576369 	
 18000 	 0.576141 	
 17000 	 0.575629 	
 16000 	 0.574752 	
 15000 	 0.573653 	
 14000 	 0.57234 	
 13000 	 0.570818 	
 12000 	 0.569073 	
 11000 	 0.56706 	
 10000 	 0.564702 	
 9000 	 0.561926 	
 8000.02 	 0.558546 	
 6999.99 	 0.554462 	
 6000 	 0.54941 	
 4999.99 	 0.542969 	
 4000.01 	 0.532432 	
 2999.96 	 0.515989 	
 1999.99 	 0.485712 	
 1000 	 0.409659 	
 950.005 	 0.402987 	
 900.004 	 0.395853 	
 850.002 	 0.388208 	
 799.992 	 0.379982 	
 749.991 	 0.371111 	
 699.993 	 0.361426 	
 650.005 	 0.350917 	
 599.991 	 0.339478 	
 549.986 	 0.326988 	
 499.997 	 0.313363 	
 450.003 	 0.298337 	
 399.999 	 0.281576 	
 350 	 0.262615 	
 300.002 	 0.241533 	
 250.002 	 0.217584 	
 199.999 	 0.189935 	
 180.001 	 0.177598 	
 159.998 	 0.164411 	
 140.002 	 0.150201 	
 120.004 	 0.13489 	
 99.9872 	 0.118238 	
 79.988 	 0.100011 	
 59.9989 	 0.0798492 	
 40.0005 	 0.0572355 	
 19.9989 	 0.0313238 	
 19.0062 	 0.0299273 	
 17.9895 	 0.0285155 	
 16.9923 	 0.0270727 	
 16.0101 	 0.0256235 	
 15.0019 	 0.0241694 	
 13.9979 	 0.0227138 	
 12.9982 	 0.021207 	
 12.0007 	 0.0197227 	
 11.0022 	 0.0182198 	
 10.0064 	 0.0167108 	
 8.99664 	 0.0151568 	
 7.99661 	 0.0135924 	
 6.99939 	 0.0120012 	
 5.99911 	 0.0104148 	
 4.99107 	 0.00877432 	
 4.00322 	 0.00717593 	
 2.99774 	 0.00553399 	
 2.00038 	 0.0038513 	
 1.00509 	 0.00216602 	
 0.00400325 	 0.000470617 	
-0.992985 	-0.00127779 	
-2.00522 	-0.00295287 	
-2.9912 	-0.0046523 	
-4.00294 	-0.00627434 	
-5.0129 	-0.00788131 	
-6.0009 	-0.00947695 	
-7.00819 	-0.0110503 	
-7.99706 	-0.0126506 	
-8.99467 	-0.0141706 	
-9.99559 	-0.0157365 	
-10.9957 	-0.0172574 	
-12.0201 	-0.0187513 	
-13.004 	-0.020225 	
-13.9968 	-0.0217025 	
-14.9946 	-0.0231284 	
-16.0071 	-0.0245917 	
-17.0074 	-0.0260114 	
-18.0005 	-0.0274201 	
-18.9865 	-0.0287994 	
-20.0046 	-0.030217 	

	
	
