Start Time:  21-05-2024 14:12:30          Time Completed:  21-05-2024 14:30:06      Elapsed Time:  00:17:35
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_210.txt
Plot File:     C:\IDEASVSM\LS_QC\A_210.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_210.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.562838 	
 18000 	 0.562638 	
 17000 	 0.56215 	
 16000 	 0.561367 	
 15000 	 0.560287 	
 14000 	 0.559032 	
 13000 	 0.557572 	
 12000 	 0.555894 	
 11000 	 0.553943 	
 9999.99 	 0.55167 	
 9000.01 	 0.548981 	
 8000.01 	 0.54571 	
 7000.01 	 0.541751 	
 6000 	 0.536852 	
 5000 	 0.530605 	
 3999.98 	 0.520376 	
 3000.03 	 0.504364 	
 2000 	 0.474788 	
 999.994 	 0.400187 	
 950 	 0.39363 	
 900 	 0.386607 	
 850.002 	 0.37908 	
 799.991 	 0.370975 	
 749.997 	 0.36224 	
 699.999 	 0.352692 	
 649.994 	 0.342353 	
 599.997 	 0.331105 	
 550.001 	 0.318831 	
 499.996 	 0.305442 	
 449.994 	 0.290682 	
 399.996 	 0.274248 	
 349.999 	 0.255673 	
 299.992 	 0.235019 	
 249.991 	 0.211586 	
 199.997 	 0.184559 	
 179.997 	 0.172514 	
 159.999 	 0.159652 	
 139.998 	 0.145815 	
 119.993 	 0.130888 	
 99.9905 	 0.11469 	
 80.0066 	 0.0969615 	
 59.9968 	 0.0773747 	
 39.9989 	 0.0554148 	
 20.0007 	 0.030283 	
 19.0029 	 0.0289444 	
 17.9906 	 0.0275578 	
 16.9998 	 0.0261812 	
 16.0041 	 0.0247701 	
 14.9972 	 0.0233527 	
 13.9956 	 0.0219016 	
 12.9897 	 0.0204934 	
 11.9947 	 0.0190384 	
 11.0016 	 0.0176023 	
 9.99675 	 0.0161003 	
 8.99227 	 0.0145897 	
 7.99501 	 0.0130845 	
 7.00031 	 0.0115325 	
 5.99106 	 0.0100409 	
 4.99356 	 0.00849495 	
 4 	 0.0069433 	
 3.00283 	 0.00534104 	
 2.0006 	 0.00370206 	
 1.00246 	 0.00207246 	
 0.00239128 	 0.000400206 	
-0.999856 	-0.00123607 	
-1.99902 	-0.00286846 	
-2.99886 	-0.00446748 	
-4.00214 	-0.00604426 	
-4.99941 	-0.00761808 	
-6.00094 	-0.00916991 	
-7.00043 	-0.0106953 	
-7.99618 	-0.0122028 	
-8.99855 	-0.0136851 	
-9.99973 	-0.0151809 	
-10.9949 	-0.0166506 	
-12.0005 	-0.018099 	
-13.0061 	-0.0195401 	
-14.0022 	-0.0209624 	
-14.9959 	-0.0223867 	
-15.9981 	-0.0237872 	
-17.0014 	-0.0252051 	
-18.0005 	-0.0265884 	
-18.9968 	-0.027926 	
-20.0042 	-0.0292651 	

	
	
