Start Time:  22-05-2024 14:24:43          Time Completed:  22-05-2024 14:43:48      Elapsed Time:  00:19:04
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_360.txt
Plot File:     C:\IDEASVSM\LS_QC\A_360.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_360.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.563995 	
 18000 	 0.563731 	
 17000 	 0.563227 	
 16000 	 0.562399 	
 15000 	 0.561259 	
 14000 	 0.559927 	
 13000 	 0.558387 	
 12000 	 0.556628 	
 11000 	 0.554587 	
 10000 	 0.552212 	
 9000 	 0.549403 	
 7999.99 	 0.545988 	
 6999.98 	 0.541872 	
 5999.99 	 0.536731 	
 5000 	 0.530221 	
 4000.01 	 0.519553 	
 3000.11 	 0.502873 	
 2000 	 0.472203 	
 999.988 	 0.395735 	
 949.997 	 0.389089 	
 900.001 	 0.381978 	
 850 	 0.37436 	
 799.982 	 0.366171 	
 749.995 	 0.357364 	
 700.002 	 0.347765 	
 649.995 	 0.337366 	
 599.996 	 0.326076 	
 550.007 	 0.313763 	
 500.01 	 0.300366 	
 449.997 	 0.285612 	
 400.005 	 0.269213 	
 350.023 	 0.250722 	
 300.005 	 0.230208 	
 249.991 	 0.206988 	
 200.001 	 0.180273 	
 180.002 	 0.168389 	
 159.992 	 0.155703 	
 140.004 	 0.142075 	
 119.995 	 0.127417 	
 99.9987 	 0.111521 	
 79.9958 	 0.0941681 	
 59.9998 	 0.0750404 	
 39.9927 	 0.0536526 	
 19.9905 	 0.0292766 	
 18.9978 	 0.027973 	
 18.001 	 0.0266716 	
 16.9982 	 0.0252983 	
 16.0053 	 0.0239477 	
 15.0042 	 0.0226022 	
 13.9869 	 0.0212032 	
 12.9998 	 0.0198241 	
 11.9952 	 0.0184239 	
 11.0041 	 0.0170162 	
 9.99519 	 0.0155868 	
 8.98838 	 0.0141481 	
 8.00161 	 0.0126711 	
 7.0044 	 0.0111922 	
 6.00023 	 0.00975507 	
 5.00146 	 0.00826033 	
 3.99292 	 0.00671609 	
 2.99737 	 0.0051964 	
 2.01139 	 0.00366266 	
 1.00199 	 0.0020639 	
-0.00350506 	 0.00049084 	
-0.988371 	-0.00110417 	
-2.00461 	-0.00267483 	
-3.00368 	-0.00422859 	
-4.00019 	-0.00577824 	
-4.99804 	-0.00730712 	
-6.00424 	-0.00878919 	
-7.00586 	-0.0102813 	
-7.99833 	-0.0117661 	
-8.99689 	-0.0132025 	
-9.99952 	-0.0146428 	
-11.0056 	-0.0160583 	
-12.007 	-0.0174514 	
-12.9864 	-0.018821 	
-14.0014 	-0.0202104 	
-14.9996 	-0.0215887 	
-15.9979 	-0.0229417 	
-17.0004 	-0.024305 	
-17.9851 	-0.0256382 	
-19.0059 	-0.0269478 	
-20.003 	-0.0282551 	

	
	
