Start Time:  22-05-2024 14:03:43          Time Completed:  22-05-2024 14:20:59      Elapsed Time:  00:17:15
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_15.txt
Plot File:     C:\IDEASVSM\LS_QC\A_15.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_15.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.572655 	
 18000 	 0.572407 	
 17000 	 0.571906 	
 16000 	 0.57111 	
 15000 	 0.570001 	
 14000 	 0.56869 	
 13000 	 0.567171 	
 12000 	 0.565436 	
 11000 	 0.563413 	
 9999.99 	 0.561043 	
 9000 	 0.558219 	
 7999.97 	 0.55481 	
 7000.02 	 0.550679 	
 6000 	 0.545562 	
 5000.01 	 0.539017 	
 4000 	 0.528341 	
 3000.02 	 0.511654 	
 2000.01 	 0.480895 	
 1000.01 	 0.403904 	
 950.005 	 0.397184 	
 900 	 0.389992 	
 850.008 	 0.382284 	
 800.001 	 0.374 	
 750.001 	 0.365082 	
 699.992 	 0.355362 	
 649.998 	 0.344825 	
 600 	 0.333374 	
 549.997 	 0.320888 	
 499.995 	 0.307283 	
 449.996 	 0.292308 	
 400 	 0.275656 	
 350.011 	 0.256853 	
 299.998 	 0.235963 	
 250.002 	 0.212311 	
 199.999 	 0.185071 	
 180.005 	 0.172954 	
 159.991 	 0.159991 	
 139.991 	 0.146068 	
 120.011 	 0.131073 	
 99.992 	 0.114798 	
 79.9959 	 0.0969977 	
 59.9974 	 0.07736 	
 39.992 	 0.0553769 	
 19.9949 	 0.0302501 	
 18.9951 	 0.0288701 	
 18.0026 	 0.0274995 	
 17.0067 	 0.0261369 	
 15.9965 	 0.0247256 	
 15.0002 	 0.023319 	
 13.9957 	 0.0219011 	
 12.9888 	 0.0204921 	
 12.0077 	 0.0190437 	
 10.9896 	 0.0175884 	
 10.0026 	 0.0160953 	
 8.99024 	 0.014584 	
 8.00011 	 0.0130964 	
 6.99807 	 0.01159 	
 6.00062 	 0.0100362 	
 4.99859 	 0.00848856 	
 4.00483 	 0.00689032 	
 3.00436 	 0.00532403 	
 2.00273 	 0.00371446 	
 0.99292 	 0.00208471 	
-0.001906 	 0.00043271 	
-0.992512 	-0.00120933 	
-2.0045 	-0.00282283 	
-3.00194 	-0.00442935 	
-4.00592 	-0.00600843 	
-5.00013 	-0.00759257 	
-5.99809 	-0.00913026 	
-6.99767 	-0.0106532 	
-7.99722 	-0.0121638 	
-9.00778 	-0.0136413 	
-10.0036 	-0.0151346 	
-11.001 	-0.0165991 	
-12.005 	-0.0180849 	
-12.9986 	-0.0195001 	
-13.9989 	-0.0209133 	
-14.9983 	-0.022328 	
-16.0076 	-0.0237163 	
-17.0088 	-0.0250975 	
-18.0046 	-0.0264832 	
-19.0043 	-0.0278387 	
-19.9981 	-0.0291797 	

	
	
