Start Time:  22-05-2024 10:33:46          Time Completed:  22-05-2024 10:50:41      Elapsed Time:  00:16:54
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\A_105a.txt
Plot File:     C:\IDEASVSM\LS_QC\A_105a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\A_105a.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.552236 	
 18000 	 0.552086 	
 17000 	 0.551589 	
 16000 	 0.550858 	
 15000 	 0.549799 	
 14000 	 0.54855 	
 13000 	 0.547084 	
 12000 	 0.545385 	
 11000 	 0.54349 	
 9999.99 	 0.541181 	
 9000.01 	 0.538463 	
 8000.01 	 0.535319 	
 7000.01 	 0.531446 	
 5999.99 	 0.526554 	
 4999.97 	 0.520427 	
 3999.99 	 0.510359 	
 3000.1 	 0.494847 	
 2000 	 0.46578 	
 999.997 	 0.393793 	
 950.002 	 0.387471 	
 900.002 	 0.380718 	
 849.996 	 0.373491 	
 800.002 	 0.365663 	
 749.993 	 0.357269 	
 699.994 	 0.348093 	
 649.996 	 0.338129 	
 599.998 	 0.327261 	
 549.997 	 0.3154 	
 500 	 0.302445 	
 450.005 	 0.288146 	
 399.994 	 0.272188 	
 350.008 	 0.25415 	
 299.996 	 0.234016 	
 250.003 	 0.211101 	
 200.001 	 0.184607 	
 179.998 	 0.172748 	
 159.997 	 0.160057 	
 139.993 	 0.146389 	
 119.997 	 0.131611 	
 99.9974 	 0.115525 	
 79.9926 	 0.0978759 	
 59.9902 	 0.0782914 	
 40.0004 	 0.056272 	
 19.9968 	 0.0308887 	
 19.0026 	 0.0295023 	
 17.9963 	 0.0281126 	
 17.0011 	 0.0266995 	
 15.9977 	 0.0252861 	
 14.9963 	 0.0238649 	
 14.0018 	 0.0224202 	
 12.9992 	 0.0209496 	
 12.0024 	 0.0194689 	
 11.006 	 0.0180054 	
 10.0039 	 0.0164866 	
 9.00485 	 0.0149906 	
 8.00285 	 0.0134486 	
 7.00307 	 0.0119206 	
 5.99997 	 0.0103139 	
 4.99828 	 0.00873 	
 3.99625 	 0.00712366 	
 3.00605 	 0.00549414 	
 1.9987 	 0.00388424 	
 1.00372 	 0.00219481 	
-0.000302273 	 0.000479006 	
-1.001 	-0.00123472 	
-1.99367 	-0.00289022 	
-2.99401 	-0.00454939 	
-3.99985 	-0.00620376 	
-4.99608 	-0.00781978 	
-6.00332 	-0.00939048 	
-7.0082 	-0.0109569 	
-8.00049 	-0.0124706 	
-9.00788 	-0.0140138 	
-10.0006 	-0.0155266 	
-10.9984 	-0.0170272 	
-12.0024 	-0.0184885 	
-13.0062 	-0.0199543 	
-13.9993 	-0.0214042 	
-14.9985 	-0.0228608 	
-16.0051 	-0.0242687 	
-16.999 	-0.0256761 	
-17.9936 	-0.027069 	
-18.9995 	-0.0284637 	
-20.0011 	-0.0298312 	

	
	
